Motif	Factor	Evidence	Curated
M00938_2.00	MAX	PBM	Y
M01497_2.00	MAX	PBM	Y
M01498_2.00	MAX	PBM	Y
M02785_2.00	MAX	SELEX	Y
M02786_2.00	MAX	SELEX	Y
M02788_2.00	BHLHE40	SELEX	Y
M02792_2.00	USF1	SELEX	Y
M02851_2.00	CEBPB	SELEX	Y
M02852_2.00	CEBPB	SELEX	Y
M02855_2.00	MAFK	SELEX	Y
M02856_2.00	MAFK	SELEX	Y
M02857_2.00	MAFK	SELEX	Y
M02858_2.00	MAFK	SELEX	Y
M02877_2.00	YY1	SELEX	Y
M02878_2.00	CTCF	SELEX	Y
M02883_2.00	EGR1	SELEX	Y
M02884_2.00	EGR1	SELEX	Y
M02921_2.00	SP1	SELEX	Y
M02952_2.00	E2F1	SELEX	Y
M02953_2.00	E2F1	SELEX	Y
M02954_2.00	E2F1	SELEX	Y
M02955_2.00	E2F1	SELEX	Y
M02961_2.00	E2F4	SELEX	Y
M02962_2.00	E2F4	SELEX	Y
M02971_2.00	ELF1	SELEX	Y
M02971_2.00	ELF1	SELEX	Y
M02972_2.00	ELF1	SELEX	Y
M02972_2.00	ELF1	SELEX	Y
M02979_2.00	ELK1	SELEX	Y
M02979_2.00	ELK1	SELEX	Y
M02980_2.00	ELK1	SELEX	Y
M02980_2.00	ELK1	SELEX	Y
M02981_2.00	ELK1	SELEX	Y
M02981_2.00	ELK1	SELEX	Y
M02982_2.00	ELK1	SELEX	Y
M02982_2.00	ELK1	SELEX	Y
M02996_2.00	GABPA	SELEX	Y
M02996_2.00	GABPA	SELEX	Y
M03341_2.00	SRF	SELEX	Y
M03342_2.00	SRF	SELEX	Y
M03397_2.00	ESRRA	SELEX	Y
M03398_2.00	ESRRA	SELEX	Y
M03399_2.00	ESRRA	SELEX	Y
M03400_2.00	ESRRA	SELEX	Y
M03401_2.00	ESRRA	SELEX	Y
M03402_2.00	ESRRA	SELEX	Y
M03407_2.00	NR2C2	SELEX	Y
