Motif	Factor	Evidence	Curated
GM.5.0.Mixed.0001	EGR1	ChIP-seq	N
GM.5.0.Mixed.0001	SRF	ChIP-seq	N
GM.5.0.Nuclear_receptor.0002	NR2C2	ChIP-seq	Y
GM.5.0.Nuclear_receptor.0002	NR2C2	ChIP-seq	N
GM.5.0.C2H2_ZF.0001	EGR1	ChIP-seq	N
GM.5.0.C2H2_ZF.0001	EGR1	JASPAR	Y
GM.5.0.C2H2_ZF.0001	EGR1	ChIP-seq	Y
GM.5.0.GATA.0001	GATA2	ChIP-seq	N
GM.5.0.GATA.0001	GATA2	ChIP-seq	Y
GM.5.0.bZIP.0001	CEBPB	ChIP-seq	N
GM.5.0.bZIP.0002	JUND	ChIP-seq	Y
GM.5.0.bZIP.0003	MAFK	ChIP-seq	Y
GM.5.0.bZIP.0003	MAFK	ChIP-seq	N
GM.5.0.bHLH.0004	USF1	JASPAR	Y
GM.5.0.bHLH.0004	USF2	ChIP-seq	Y
GM.5.0.bHLH.0004	USF1	ChIP-seq	Y
GM.5.0.bZIP.0004	ATF3	ChIP-seq	N
GM.5.0.bZIP.0004	MYC	ChIP-seq	N
GM.5.0.GATA.0002	GATA2	Transfac	Y
GM.5.0.RFX.0001	RFX5	ChIP-seq	N
GM.5.0.bHLH.0006	GATA2	ChIP-seq	N
GM.5.0.Forkhead.0001	FOXK2	ChIP-seq	N
GM.5.0.MADS_box.0001	SRF	Transfac	Y
GM.5.0.MADS_box.0001	SRF	ChIP-seq	Y
GM.5.0.MADS_box.0001	SRF	Unknown	N
GM.5.0.MADS_box.0001	SRF	ChIP-seq	N
GM.5.0.MADS_box.0001	SRF	TRANSFAC	Y
GM.5.0.bHLH.0008	MAX	JASPAR	Y
GM.5.0.bHLH.0008	MAX	ChIP-seq	Y
GM.5.0.bHLH.0008	MYC	ChIP-seq	Y
GM.5.0.bHLH.0008	MAX	SELEX	Y
GM.5.0.bHLH.0008	MYC	SELEX	Y
GM.5.0.bHLH.0008	MXI1	ChIP-seq	Y
GM.5.0.bHLH.0008	MYC	ChIP-seq	N
GM.5.0.bHLH.0008	MYC	JASPAR	Y
GM.5.0.Homeodomain.0007	PBX3	ChIP-seq	Y
GM.5.0.Homeodomain.0007	FOS	ChIP-seq	Y
GM.5.0.Ets.0003	ELK1	HT-SELEX	N
GM.5.0.Ets.0003	GABPA	HT-SELEX	N
GM.5.0.Ets.0003	ELK1	SELEX	Y
GM.5.0.Ets.0003	GABPA	SELEX	Y
GM.5.0.Ets.0003	ELK1	ChIP-seq	Y
GM.5.0.Ets.0003	ELK1	HT-SELEX	Y
GM.5.0.Nuclear_receptor.0005	RXRA	SMiLE-seq	Y
GM.5.0.Ets.0004	ELF1	ChIP-seq	N
GM.5.0.Ets.0004	GABPA	ChIP-seq	N
GM.5.0.E2F.0001	E2F1	HT-SELEX	N
GM.5.0.E2F.0001	E2F4	HT-SELEX	N
GM.5.0.E2F.0001	E2F1	SELEX	Y
GM.5.0.E2F.0001	E2F4	SELEX	Y
GM.5.0.E2F.0001	E2F1	HT-SELEX	Y
GM.5.0.C2H2_ZF.0006	SP1	JASPAR	Y
GM.5.0.C2H2_ZF.0006	SP1	Transfac	Y
GM.5.0.C2H2_ZF.0006	SP1	SELEX	Y
GM.5.0.C2H2_ZF.0006	SP1	ChIP-seq	Y
GM.5.0.C2H2_ZF.0006	SP1	Unknown	N
GM.5.0.C2H2_ZF.0006	SP1	ChIP-seq	N
GM.5.0.C2H2_ZF.0006	SP1	TRANSFAC	Y
GM.5.0.C2H2_ZF.0006	SP1	HT-SELEX	N
GM.5.0.C2H2_ZF.0006	TBP	ChIP-seq	N
GM.5.0.C2H2_ZF.0006	PBX3	ChIP-seq	N
GM.5.0.Nuclear_receptor.0008	NR2C2	JASPAR	Y
GM.5.0.Nuclear_receptor.0008	NR2C2	ChIP-seq	Y
GM.5.0.Nuclear_receptor.0008	NR2C2	SELEX	Y
GM.5.0.Nuclear_receptor.0008	NR2C2	ChIP-seq	N
GM.5.0.Nuclear_receptor.0008	NR2C2	HT-SELEX	N
GM.5.0.GATA.0003	GATA2	ChIP-seq	Y
GM.5.0.Mixed.0004	YY1	ChIP-seq	N
GM.5.0.bHLH.0009	ATF3	ChIP-seq	N
GM.5.0.bHLH.0009	USF1	ChIP-seq	Y
GM.5.0.bHLH.0009	USF2	ChIP-seq	Y
GM.5.0.bHLH.0009	USF1	ChIP-seq	N
GM.5.0.bHLH.0009	USF2	ChIP-seq	N
GM.5.0.Forkhead.0002	FOXK2	PBM	N
GM.5.0.Forkhead.0002	FOXK2	SELEX	N
GM.5.0.E2F.0002	E2F1	ChIP-seq	Y
GM.5.0.E2F.0002	E2F4	ChIP-seq	Y
GM.5.0.E2F.0002	E2F4	ChIP-seq	N
GM.5.0.Forkhead.0003	FOXK2	Transfac	N
GM.5.0.Forkhead.0003	FOXK2	SELEX	N
